,Date of Sale,Product,Product Category,Quantity,Total Price,Total Profit,Payment Type,Customer Age Category,Customer Location,Customer ID,Customer Gender
41,2024-01-08,White Tie and Shirt Set,Men → Shirts,2,€70.00,€26.60,PayPal,25-34,Dublin,14853,Female
42,2024-01-09,Light Blue Ditsy Slub Dress,Women → Dresses,1,€22.50,€11.25,Credit Card,25-34,Clare,3125,Female
43,09 Jan 2024,Dark Blue Belted Jeans,Men → Jeans,1,€29.00,€11.60,Debit Card,18-24,Cork,6922,Male
44,2024-01-09,Blue Floral Embroidered Mac,Children → Girls Wear,1,€35.00,€17.85,Credit Card,35-44,Dublin,2887,Male
45,09 Jan 2024,Black Signature Point Court Shoes,Men → Shoes,1,€44.00,€19.80,Debit Card,35-44,Dublin,6337,Male
46,2024-01-10,White Puff Sleeve T-shirt Five Pack,Children → Girls Wear,1,€21.50,€10.96,Credit Card,35-44,Limerick,4791,Male
47,2024-01-10,Woodel Wall Mirror,Homeware → Design,1,€66.00,€26.40,Credit Card,25-34,Leitrim,16497,Female
48,2024-01-11,Navy Jersey Joggers,Men → Trousers,1,€24.00,€11.76,Voucher,35-44,Dublin,1522,Female
49,2024-01-11,Black Skinny Zip Trousers,Men → Trousers,1,€ 46.00,€22.54,Debit Card,25-34,Dublin,7831,Male
50,2024-01-11,White Tie and Shirt Set,Men → Shirts,3,€94.50,€29.40,Debit Card,35-44,Cork,6722,Male
51,2024-01-11,Mid Blue Straight Fit Jeans,Men → Jeans,1,€38.00,€15.20,Debit Card,25-34,Carlow,18428,Female
52,2024-01-11,Double Wall Mug,Homeware → Design,1,€12.50,€5.00,Credit Card,25-34,Wicklow,14750,Female
53,2024-01-11,Pink Slim Fit Double Cuff Shirt,Men → Shirts,1,€29.00,€11.02,Debit Card,25-34,Cork,15881,Male
54,2024-01-12,Lyle & Scott Oxford Shirt,Men → Shirts,2,€126.00,€47.88,Debit Card,18-24,Dublin,3962,Male
55,2024-01-12,Hawaiian Print Sun Safe Two Piece,Children → Girls Wear,2,€35.00,€17.85,Credit Card,18-24,Cork,19137,Female
56,2024-01-12,Floral Embroidered Kaftan,Children → Girls Wear,2,€64.00,€32.64,Credit Card,35-44,Dublin,14553,Female
57,2024-01-13,Lattice Runner,Homeware → Design,3,€258.00,€103.20,Credit Card,25-34,Cork,1969,Male
58,2024-01-13,Black Skinny Zip Trousers,Men → Trousers,1,€46.00,€22.54,Debit Card,55-64,Dublin,9241,Female
59,13 Jan 2024,Metallic Cross Strap Block Heels,Men → Shoes,1,€65.00,€29.25,Voucher,25-34,Cork,13894,Male
60,2024-01-13,Mid Blue Slim Fit Ultra Flex Jeans,Men → Jeans,1,€ 48.00,€19.20,PayPal,45-54,Leitrim,4156,Male
61,2024-01-13,Double Wall Mug,Homeware → Design,1,€11.25,€3.75,Credit Card,45-54,Clare,11872,Male
62,13 Jan 2024,Pink Slim Fit Double Cuff Shirt,Men → Shirts,1,€29.00,€11.02,Debit Card,25-34,Dublin,6151,Female
63,2024-01-14,Foraker Canvas Coat,Women → Tops,1,€41.40,€23.00,Credit Card,35-44,Cork,6722,Male
64,2024-01-14,Soft Velour Eyelet Lined Curtains,Homeware → Design,3,€318.00,€127.20,Credit Card,55-64,Dublin,3809,Female
65,2024-01-16,Black Loose Fit Jeans with Stretch,Men → Jeans,1,€29.00,€11.60,Debit Card,35-44,Limerick,4791,Male
66,2024-01-16,Orange/Navy Shorts Three Pack,Children → Girls Wear,2,€33.00,€16.83,Debit Card,25-34,Kerry,2322,Male
67,2024-01-16,Dark Ink Slim Fit Jeans with Stretch,Men → Jeans,1,€46.00,€18.40,Debit Card,45-54,Kerry,8962,Prefer not to say
68,17 Jan 2024,Black Signature Point Court Shoes,Women → Shoes,2,€79.20,€30.80,Debit Card,18-24,Dublin,7375,Female
69,2024-01-17,Navy Suede Loafers,Men → Shoes,1,€35.00,€15.75,Credit Card,25-34,Meath,5956,Male
70,2024-01-17,Orange/Navy Shorts Three Pack,Children → Girls Wear,2,€33.00,€16.83,Debit Card,18-24,Dublin,3266,Male
71,2024-01-17,White Colour Block T-Shirt,Children → Boys Wear,2,€45.00,€22.95,CC,18-24,Galway,18056,Female
72,2024-01-18,Nude Peep Toe Cork Wedges,Women → Shoes,2,€79.20,€30.80,Debit Card,18-24,Laois,3934,Male
73,18 Jan 2024,Dark Blue Belted Jeans,Men → Jeans,1,€ 29.00,€11.60,Credit Card,18-24,Dublin,4981,Male
74,2024-01-18,Blue Floral Embroidered Mac,Children → Girls Wear,1,€35.00,€17.85,Debit Card,55-64,Offaly,12197,Prefer not to say
75,2024-01-19,Metallic Cross Strap Block Heels,Men → Shoes,1,€65.00,€29.25,Voucher,35-44,Dublin,2887,Male
76,2024-01-19,Light Grey Straight Fit Jeans,Men → Jeans,1,€29.00,€11.60,Debit Card,35-44,Meath,9950,Male
77,19 Jan 2024,Black Loose Fit Jeans with Stretch,Men → Jeans,1,€29.00,€11.60,Credit Card,25-34,Kilkenny,11572,Female
78,2024-01-19,Floral Embroidered Kaftan,Children → Girls Wear,2,€64.00,€32.64,Credit Card,25-34,Westmeath,6503,Female
79,19 Jan 2024,Floral Embroidered Kaftan,Children → Girls Wear,1,€32.00,€16.32,Debit Card,35-44,Limerick,13941,Female
80,2024-01-19,Navy/White Long Sleeve Gingham Cheque Shirt,Men → Shirts,1,€26.10,€8.12,Credit Card,35-44,Kilkenny,17834,Male
81,2024-01-19,Black Mary Jane Shoes,Men → Shoes,1,€44.00,€19.80,Debit Card,25-34,Wicklow,2656,Female
82,2024-01-19,Crinkle Velvet Bed Set,Homeware → Bed Bath,2,€99.00,€27.50,Credit Card,35-44,Limerick,4344,Male
83,2024-01-19,Gertrude Cardigan,Women → Tops,1,€21.60,€12.00,Debit Card,35-44,Cork,12541,Male
84,2024-01-19,Black Skinny Zip Trousers,Men → Trousers,2,€92.00,€45.08,Credit Card,25-34,Carlow,1312,Male
85,2024-01-20,Black Skinny Fit Jeans with Stretch,Men → Jeans,1,€46.00,€18.40,Credit Card,35-44,Meath,9950,Male
86,2024-01-20,Light Blue Ditsy Slub Dress,Women → Dresses,1,€ 22.50,€11.25,Credit Card,35-44,Galway,14803,Female
87,2024-01-20,Navy Colourblock Crew and Jogger Set,Children → Boys Wear,1,€17.50,€8.93,Credit Card,25-34,Limerick,7591,Female
88,2024-01-20,Black Loose Fit Jeans with Stretch,Men → Jeans,1,€26.10,€8.70,Debit Card,35-44,Dublin,17662,Male
89,2024-01-21,Orange/Navy Shorts Three Pack,Children → Girls Wear,1,€16.50,€8.41,Debit Card,25-34,Kerry,13059,Female
90,2024-01-21,Black Single Cuff Shirt,Men → Shirts,3,€126.00,€47.88,Debit Card,35-44,Dublin,1522,Female
91,2024-01-22,Black Skinny Fit Jeans with Stretch,Men → Jeans,1,€46.00,€18.40,Credit Card,25-34,Meath,4892,Male
92,22 Jan 2024,Lattice Runner,Homeware → Design,3,€258.00,€103.20,Credit Card,45-54,Meath,2194,Female
93,2024-01-22,Rose Gold Two Tier Drainer,Homeware → Design,2,€62.00,€24.80,Credit Card,25-34,Louth,13066,Male
94,22 Jan 2024,Pink Slim Fit Double Cuff Shirt,Men → Shirts,1,€29.00,€11.02,Debit Card,25-34,Cavan,10675,Male
95,2024-01-22,Multi Llama Vests Three Pack,Children → Girls Wear,1,€17.50,€8.93,Credit Card,45-54,Dublin,15034,Female
96,2024-01-22,Pink Cheque Shirt Dress,Children → Girls Wear,1,€16.50,€8.41,PayPal,18-24,Mayo,11066,Female
97,23 Jan 2024,Woodel Wall Mirror,Homeware → Design,1,€66.00,€26.40,Credit Card,35-44,Donegal,3575,Male
98,2024-01-23,Mola Headlamp,Homeware → Design,1,€ 43.00,€17.20,Credit Card,18-24,Dublin,2841,Male
99,2024-01-24,Black Loose Fit Jeans with Stretch,Men → Jeans,1,€29.00,€11.60,PayPal,35-44,Dublin,5138,Male
100,2024-01-24,Camp Stool,Homeware → Design,2,€33.00,€13.20,Credit Card,35-44,Donegal,16850,Male
101,2024-01-24,Multi Floral Print Short Dress,Women → Dresses,-1,€27.90,€12.40,Credit Card,18-24,Donegal,14131,Female
102,2024-01-24,Rose Print Prom Dress,Children → Girls Wear,2,€74.00,€37.74,Credit Card,35-44,Dublin,11522,Female
103,2024-01-24,Navy Colourblock Crew and Jogger Set,Children → Boys Wear,2,€35.00,€17.85,Credit Card,35-44,Meath,1878,Male
104,2024-01-25,Black Skinny Zip Trousers,Men → Trousers,1,€46.00,€22.54,Debit Card,18-24,Limerick,7453,Female
105,2024-01-25,Dark Wash Straight Fit Jeans,Men → Jeans,1,€33.00,€13.20,Credit Card,25-34,Cork,17906,Female
106,2024-01-25,White Colour Block T-Shirt,Children → Boys Wear,3,€67.50,€34.42,Debit Card,35-44,Offaly,6069,Female
107,2024-01-25,White Puff Sleeve T-shirt Five Pack,Children → Girls Wear,3,€64.50,€32.90,PayPal,45-54,Kerry,8962,Prefer not to say
108,25 Jan 2024,Dawson Trolley,Homeware → Design,1,€57.00,€22.80,Credit Card,25-34,Kildare,2081,Female
109,2024-01-25,Blue Floral Embroidered Mac,Children → Girls Wear,1,€35.00,€17.85,Credit Card,18-24,Kerry,5365,Female
110,2024-01-25,Black Skinny Fit Jeans with Stretch,Men → Jeans,1,€46.00,€18.40,Voucher,65+,Carlow,8756,Male
111,2024-01-25,Dark Blue Belted Jeans,Men → Jeans,1,€29.00,€11.60,Credit Card,35-44,Limerick,4259,Female
112,2024-01-26,Pink Linen Blend Parallel Trousers,Men → Trousers,2,€70.00,€34.30,Debit Card,45-54,Cork,7362,Female
113,2024-01-26,Blue Stripe Snuggle Fit Pyjamas,Children → Boys Wear,1,€18.50,€9.44,Debit Card,35-44,Kildare,5384,Male
114,2024-01-26,Pink Slim Fit Double Cuff Shirt,Men → Shirts,1,€26.10,€8.12,Credit Card,25-34,Dublin,15287,Male
115,2024-01-27,Lyle & Scott Oxford Shirt,Men → Shirts,1,€63.00,€23.94,Credit Card,35-44,Cork,5968,Male
116,27 Jan 2024,Multi Llama Vests Three Pack,Children → Girls Wear,1,€17.50,€8.93,Debit Card,45-54,Galway,15700,Male
117,27 Jan 2024,Light Blue Ditsy Slub Dress,Women → Dresses,1,€22.50,€11.25,Credit Card,35-44,Cork,12541,Male
118,2024-01-27,White Puff Sleeve T-shirt Five Pack,Children → Girls Wear,2,€43.00,€21.93,Debit Card,35-44,Kildare,5384,Male
119,2024-01-28,1000 Thread Count Cotton Sateen Collection,Homeware → Bed Bath,3,€267.00,€93.45,Credit Card,25-34,Donegal,2731,Female
120,28 Jan 2024,White Puff Sleeve T-shirt Five Pack,Children → Girls Wear,2,€43.00,€21.93,CC,25-34,Offaly,4306,Female
121,2024-01-28,Rose Print Prom Dress,Children → Girls Wear,2,€74.00,€37.74,Credit Card,None,Dublin,1519,Male
122,2024-01-28,Grey Marl Panda Face Crew,Children → Boys Wear,1,€11.50,€5.87,Debit Card,35-44,Meath,18553,Male
123,2024-01-28,Navy Chino Trousers,Men → Trousers,3,€108.00,€52.92,Debit Card,55-64,Dublin,15294,Female
124,2024-01-28,Camp Stool,Homeware → Design,6,€89.10,€29.70,Credit Card,35-44,Limerick,17722,Female
125,2024-01-28,Dark Wash Straight Fit Jeans,Men → Jeans,1,€33.00,€13.20,Debit Card,25-34,Wicklow,18069,Female
126,2024-01-28,Lyle & Scott Oxford Shirt,Men → Shirts,1,€63.00,€23.94,Debit Card,18-24,Dublin,6887,Female
127,2024-01-28,Mid Blue Straight Fit Jeans,Men → Jeans,1,€38.00,€15.20,Credit Card,35-44,Dublin,9072,Male
128,2024-01-28,Lunar Cirque Blouse,Women → Tops,1,€21.60,€12.00,CC,35-44,Carlow,12991,Male
129,2024-01-28,Dark Ink Slim Fit Jeans with Stretch,Men → Jeans,1,€46.00,€18.40,Credit Card,35-44,Limerick,18169,Female
130,2024-01-29,White Short Sleeve Oxford Shirt,Men → Shirts,1,€47.70,€14.84,Credit Card,35-44,Cork,13806,Female
131,2024-01-29,Floral Embroidered Kaftan,Children → Girls Wear,2,€64.00,€32.64,Credit Card,35-44,Carlow,9750,Female
132,2024-01-29,Fluro Shorts Two Pack,Children → Boys Wear,1,€17.50,€8.93,Debit Card,25-34,Dublin,8356,Male
133,2024-01-30,Blue Floral Embroidered Mac,Children → Girls Wear,1,€35.00,€17.85,PayPal,25-34,Dublin,5547,Male
134,2024-01-30,Ultimate Feels Like Down Duvet,Homeware → Bed Bath,2,€136.00,€47.60,Debit Card,25-34,Mayo,6254,Female
135,2024-01-30,White Short Sleeve Oxford Shirt,Men → Shirts,1,€47.70,€14.84,CC,35-44,Mayo,9991,Prefer not to say
136,2024-01-30,Foraker Canvas Coat,Women → Tops,1,€41.40,€23.00,Credit Card,35-44,Dublin,4387,Female
137,2024-01-31,Grey Marl Panda Face Crew,Children → Boys Wear,1,€11.50,€5.87,Credit Card,18-24,Louth,11044,Female
138,2024-01-31,Blue Floral Embroidered Mac,Children → Girls Wear,1,€35.00,€17.85,Credit Card,35-44,Wicklow,4226,Female
139,2024-01-31,Gertrude Cardigan,Women → Tops,1,€21.60,€12.00,Voucher,25-34,Monaghan,7071,Female
140,2024-01-31,Dark Blue Belted Jeans,Men → Jeans,-1,€29.00,€11.60,Debit Card,35-44,Meath,6345,Female
141,2024-01-31,Blue Floral Embroidered Mac,Children → Girls Wear,1,€35.00,€17.85,Debit Card,35-44,Dublin,1522,Female
142,2024-01-31,White Colour Block T-Shirt,Children → Boys Wear,2,€ 45.00,€22.95,Debit Card,25-34,Dublin,17041,Male
143,2024-01-31,Dark Blue Belted Jeans,Men → Jeans,1,€29.00,€11.60,Debit Card,18-24,Cork,3769,Female
144,2024-02-01,White Tie and Shirt Set,Men → Shirts,2,€63.00,€19.60,Debit Card,25-34,Offaly,6578,Male
145,2024-02-01,Floral Embroidered Kaftan,Children → Girls Wear,3,€96.00,€48.96,Debit Card,45-54,Cork,2106,Female
146,2024-02-01,Fluro Shorts Two Pack,Children → Boys Wear,3,€52.50,€26.77,PayPal,25-34,Dublin,14812,Male
147,2024-02-01,Pennsylvania Notebooks,Homeware → Design,9,€103.50,€41.40,Credit Card,25-34,Dublin,12519,Male
148,02 Feb 2024,Navy Tailored Trousers,Men → Trousers,1,€ 42.00,€20.58,Credit Card,35-44,Galway,16878,Female
149,2024-02-02,Rose Print Prom Dress,Children → Girls Wear,2,€74.00,€37.74,Credit Card,35-44,Galway,10744,Male
150,02 Feb 2024,Navy Colourblock Crew and Jogger Set,Children → Boys Wear,3,€52.50,€26.77,Debit Card,35-44,Longford,14850,Male
151,2024-02-04,Blue Floral Embroidered Mac,Children → Girls Wear,1,€35.00,€17.85,PayPal,35-44,Dublin,10753,Female
152,2024-02-04,Orange/Navy Shorts Three Pack,Children → Girls Wear,2,€ 33.00,€16.83,Debit Card,45-54,Galway,2384,Male
153,2024-02-04,Pink Slim Fit Double Cuff Shirt,Men → Shirts,1,€ 29.00,€11.02,Debit Card,18-24,Mayo,13094,Female
154,04 Feb 2024,Crinkle Velvet Bed Set,Homeware → Bed Bath,2,€99.00,€27.50,Credit Card,25-34,Cork,3787,Male
155,2024-02-04,Black Skinny Fit Jeans with Stretch,Men → Jeans,1,€46.00,€18.40,Debit Card,55-64,Mayo,3986,Male
156,2024-02-05,Hawaiian Print Sun Safe Two Piece,Children → Girls Wear,1,€17.50,€8.93,CC,35-44,Dublin,2887,Male
157,2024-02-05,Dark Wash Straight Fit Jeans,Men → Jeans,1,€33.00,€13.20,Credit Card,35-44,Dublin,12791,Female
158,2024-02-05,Navy Colourblock Crew and Jogger Set,Children → Boys Wear,2,€ 35.00,€17.85,Credit Card,25-34,Dublin,8131,Male
159,2024-02-06,Blue Floral Embroidered Mac,Children → Girls Wear,1,€35.00,€17.85,Credit Card,45-54,Dublin,13178,Female
160,2024-02-06,Hawaiian Print Sun Safe Two Piece,Children → Girls Wear,1,€ 15.75,€7.17,PayPal,35-44,Wicklow,2884,Male
161,06 Feb 2024,Woodel Wall Mirror,Homeware → Design,1,€66.00,€26.40,Credit Card,18-24,Galway,6787,Female
162,2024-02-06,Blue Floral Embroidered Mac,Children → Girls Wear,1,€35.00,€17.85,Credit Card,25-34,Leitrim,6466,Male
163,2024-02-06,Fluro Shorts Two Pack,Children → Boys Wear,3,€52.50,€26.77,Credit Card,25-34,Kilkenny,8969,Female
164,07 Feb 2024,Black Single Cuff Shirt,Men → Shirts,3,€126.00,€47.88,Debit Card,25-34,Cork,14675,Male
165,2024-02-07,Pink Cheque Shirt Dress,Children → Girls Wear,1,€16.50,€8.41,Debit Card,55-64,Clare,6406,Female
166,2024-02-07,White Puff Sleeve T-shirt Five Pack,Children → Girls Wear,3,€64.50,€32.90,Debit Card,55-64,Wicklow,2787,Male
167,2024-02-07,White Short Sleeve Oxford Shirt,Men → Shirts,1,€53.00,€20.14,Credit Card,18-24,Cork,3325,Male
168,2024-02-07,Cydney Plaid Shirt,Women → Tops,2,€ 102.60,€57.00,CC,55-64,Dublin,12834,Female
169,2024-02-07,White Short Sleeve Oxford Shirt,Men → Shirts,1,€53.00,€20.14,Credit Card,25-34,Waterford,8937,Female
170,2024-02-07,Lyle & Scott Oxford Shirt,Men → Shirts,1,€ 63.00,€23.94,Debit Card,45-54,Leitrim,17737,Female
171,2024-02-07,Blue Floral Embroidered Mac,Children → Girls Wear,1,€31.50,€14.35,Credit Card,35-44,Wicklow,2884,Male
172,2024-02-07,Navy/White Long Sleeve Gingham Cheque Shirt,Men → Shirts,2,€58.00,€22.04,Credit Card,25-34,Dublin,13794,Female
173,2024-02-08,Black Bandeau Maxi Dress,Women → Dresses,1,€30.60,€13.60,Credit Card,18-24,Carlow,12325,Male
174,08 Feb 2024,Ultimate Feels Like Down Duvet,Homeware → Bed Bath,2,€ 136.00,€47.60,Debit Card,35-44,Dublin,17297,Male
175,08 Feb 2024,Hawaiian Print Sun Safe Two Piece,Children → Girls Wear,2,€31.50,€14.35,Debit Card,25-34,Meath,12378,Male
176,2024-02-09,Rose Print Prom Dress,Children → Girls Wear,1,€ 37.00,€18.87,Credit Card,35-44,Dublin,9987,Male
177,2024-02-09,White Tie and Shirt Set,Men → Shirts,1,€35.00,€13.30,Debit Card,18-24,Cork,16328,Female
178,2024-02-09,Tan Leather Woven Slingbacks,Women → Shoes,1,€38.70,€15.05,Credit Card,65+,Dublin,15656,Female
179,2024-02-10,Red/Charcoal Joggers Two Pack,Children → Boys Wear,1,€15.00,€7.65,Credit Card,18-24,Cork,3769,Female
180,2024-02-10,1000 Thread Count Cotton Sateen Collection,Homeware → Bed Bath,2,€178.00,€62.30,Voucher,18-24,Cork,11581,Male
181,2024-02-10,Mid Blue Slim Fit Ultra Flex Jeans,Men → Jeans,1,€ 48.00,€19.20,Credit Card,35-44,Dublin,5129,Female
182,10 Feb 2024,Hawaiian Print Sun Safe Two Piece,Children → Girls Wear,1,€17.50,€8.93,Debit Card,None,Dublin,2175,Male
183,2024-02-10,Blue Floral Embroidered Mac,Children → Girls Wear,1,€35.00,€17.85,Debit Card,25-34,Wexford,6806,Male
184,10 Feb 2024,Pink Cheque Shirt Dress,Children → Girls Wear,1,€ 16.50,€8.41,Credit Card,18-24,Dublin,6217,Female
185,2024-02-11,Multi Llama Vests Three Pack,Children → Girls Wear,1,€17.50,€8.93,CC,25-34,Waterford,16756,Female
186,2024-02-11,Mola Headlamp,Homeware → Design,2,€77.40,€25.80,Credit Card,18-24,Longford,12703,Male
187,2024-02-11,Blue Floral Embroidered Mac,Children → Girls Wear,1,€35.00,€17.85,Debit Card,25-34,Cork,17422,Male
188,2024-02-11,White Puff Sleeve T-shirt Five Pack,Children → Girls Wear,-1,€21.50,€10.96,Credit Card,18-24,Cork,5311,Female
189,2024-02-11,Dark Blue Belted Jeans,Men → Jeans,1,€29.00,€11.60,Debit Card,25-34,Cork,16984,Female
190,2024-02-11,White Puff Sleeve T-shirt Five Pack,Children → Girls Wear,1,€21.50,€10.96,CC,25-34,Leitrim,6466,Male
191,2024-02-11,Leather Court Shoes,Women → Shoes,1,€33.30,€12.95,Debit Card,35-44,Galway,7922,Female
192,2024-02-11,Black Skinny Zip Trousers,Men → Trousers,1,€46.00,€22.54,Debit Card,55-64,Kilkenny,3434,Male
193,2024-02-11,Fluro Shorts Two Pack,Children → Boys Wear,4,€ 70.00,€35.70,Debit Card,18-24,Dublin,6328,Female
194,2024-02-11,Black Signature Point Court Shoes,Men → Shoes,1,€44.00,€19.80,Credit Card,18-24,Longford,7146,Male
195,2024-02-11,Pennsylvania Notebooks,Homeware → Design,3,€34.50,€13.80,Credit Card,25-34,Dublin,5500,Female
196,2024-02-12,Black Slim Fit Jeans with Stretch,Men → Jeans,1,€46.00,€18.40,Debit Card,25-34,Limerick,13544,Female
197,2024-02-12,Pink Cheque Shirt Dress,Children → Girls Wear,1,€16.50,€8.41,Credit Card,25-34,Kerry,10253,Female
198,2024-02-12,Double Wall Mug,Homeware → Design,1,€12.50,€5.00,Credit Card,25-34,Dublin,10097,Male
199,2024-02-13,White Colour Block T-Shirt,Children → Boys Wear,2,€45.00,€22.95,Debit Card,45-54,Galway,8153,Female
200,2024-02-13,Black Skinny Fit Jeans with Stretch,Men → Jeans,1,€ 46.00,€18.40,Credit Card,25-34,Meath,16397,Female
201,2024-02-13,Pennsylvania Notebooks,Homeware → Design,1,€11.50,€4.60,Debit Card,25-34,Kildare,5895,Female
202,2024-02-13,Hawaiian Print Sun Safe Two Piece,Children → Girls Wear,1,€17.50,€8.93,Debit Card,25-34,Meath,7762,Male
203,2024-02-14,White Polo Two Pack,Children → Girls Wear,2,€15.00,€7.65,Credit Card,18-24,Wicklow,11656,Male
204,2024-02-14,White Colour Block T-Shirt,Children → Boys Wear,2,€40.50,€18.45,Credit Card,18-24,Monaghan,7562,Female
205,2024-02-14,Pennsylvania Notebooks,Homeware → Design,4,€41.40,€13.80,Credit Card,35-44,Galway,7922,Female
206,2024-02-14,Lunar Cirque Blouse,Women → Tops,1,€21.60,€12.00,Credit Card,18-24,Dublin,12253,Female
207,2024-02-14,Blue Stripe Snuggle Fit Pyjamas,Children → Boys Wear,5,€92.50,€47.17,Debit Card,25-34,Kerry,13994,Female
